Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv1614.lgt	296	19	995	961	1475	1070	353	280	1406	1842	871	513	550	1046	183	547	519	1307	1102	625	934	2070	1009	359	712	331	523
Rv1629.polA	2	1	2	1	4	4	2	10		3	1	4	1	2	2	1	1		1		2		1			6	18
Rv1631.coaE	12406	965	9040	9818	8228	8845	5461	6603	10561	11628	2110	2155	6452	5592	9764	6940	5527	5759	5904	4004	4332	13663	7740	2530	3461	3766	4920
Rv1643.rplT	1125	23	1357	1566	1191	2277	311	194	1087	1061	1098	1126	1320	2969	3635	3257	1846	3673	4153	3873	5201	2275	115	1556	1716	1533	2377
Rv1652.argC			1						1						1												2
Rv1653.argJ	32		295	293	363	393	1	1	1	2	144	77	77	34	162	4	3	221	561	310	120	16			83	7	21
Rv1654.argB	8097	449	9770	9659	14447	10496	3358	5353	6530	7222	4589	4512	4038	4499	5845	2653	3482	9986	10614	11740	10174	19085	40651	7475	11434	7811	8505
Rv1655.argD	1110	38	1093	1665	943	1807	1829	1007	2470	3331	3565	4739	3081	6366	4884	3037	5669	8837	7902	10261	11198	5192	8583	305	463	285	2159
Rv1656.argF	3255	99	3912	5108	3317	4892	2921	2015	5747	6784	4977	5307	4004	7832	8096	8912	6064	8771	8386	11412	11542	9039	8897	1790	3053	2684	5857
Rv1658.argG						3			1		2							2									
Rv1661.pks7	4571	371	4859	7199	5042	5427	1953	1456	3660	4058	2916	2980	2438	6301	5247	5870	4349	5865	6419	5046	6143	6396	4858	6018	8017	4938	4759
Rv1683.Rv1683	95		267	136	214	183		2	17	7	58	107	78	170	124	381	165	503	173	446	444	120		152	552	149	293
Rv1689.tyrS	6272	224	8447	10478	7680	9931	3447	2406	7166	6808	3800	4710	4533	5095	6225	5202	3845	8017	8121	8862	10020	11697	1032	7490	16973	9181	7119
Rv1695.ppnK	3134	608	4220	5894	4031	5054	327	557	2647	2520	2105	2191	2455	5356	5322	5640	4601	10431	9758	7611	9492	1488	584	4206	8622	5309	7289
Rv1697.Rv1697			2		1	4		3	2	1	1			1													7
